mean_distance_n,relevance_score_n
0.53,97.00
0.67,83.00
0.85,65.00
0.85,65.00
0.44,106.00
0.37,113.00
0.88,62.00
0.46,104.00
0.41,109.00
0.79,71.00
0.43,107.00
0.48,102.00
0.46,104.00
0.51,99.00
0.57,93.00
0.66,84.00
1.25,25.00
0.78,72.00
0.96,54.00
0.62,88.00
0.50,100.00
0.78,72.00
0.83,67.00
0.96,54.00
0.46,104.00
0.50,100.00
0.47,103.00
0.58,92.00
0.77,73.00
0.58,92.00
0.69,81.00
0.45,105.00
0.55,95.00
0.43,107.00
0.52,98.00
0.42,108.00
0.63,87.00
0.64,86.00
0.67,83.00
1.13,37.00
0.83,67.00
0.76,74.00
0.71,79.00
0.77,73.00
0.57,93.00
0.50,100.00
0.59,91.00
0.64,86.00
0.91,59.00
0.66,84.00
0.62,88.00
0.55,95.00
0.81,69.00
0.64,86.00
0.43,107.00
0.59,91.00
1.05,45.00
0.64,86.00
0.73,77.00
0.72,78.00
0.73,77.00
0.68,82.00
0.77,73.00
0.59,91.00
0.82,68.00
0.69,81.00
0.64,86.00
0.82,68.00
0.41,109.00
0.61,89.00
0.60,90.00
0.73,77.00
0.61,89.00
0.45,105.00
0.44,106.00
0.71,79.00
0.65,85.00
0.92,58.00
1.19,31.00
0.46,104.00
0.89,61.00
0.81,69.00
0.76,74.00
0.92,58.00
1.23,27.00
0.81,69.00
0.61,89.00
0.65,85.00
0.52,98.00
0.90,60.00
1.11,39.00
0.49,101.00
0.75,75.00
0.77,73.00
0.61,89.00
0.73,77.00
0.48,102.00
0.87,63.00
0.50,100.00
1.12,38.00
0.75,75.00
0.95,55.00
0.90,60.00
0.73,77.00
0.81,69.00
1.05,45.00
0.76,74.00
0.53,97.00
0.59,91.00
1.03,47.00
0.73,77.00
0.49,101.00
0.95,55.00
0.43,107.00
0.50,100.00
0.65,85.00
0.29,121.00
0.46,104.00
0.65,85.00
0.37,113.00
0.62,88.00
0.48,102.00
0.40,110.00
1.03,47.00
0.64,86.00
0.67,83.00
0.35,115.00
0.36,114.00
0.81,69.00
0.49,101.00
1.03,47.00
0.50,100.00
0.49,101.00
0.61,89.00
0.81,69.00
0.39,111.00
1.35,15.00
0.50,100.00
0.84,66.00
0.60,90.00
0.64,86.00
0.63,87.00
0.62,88.00
0.72,78.00
0.95,55.00
0.91,59.00
0.37,113.00
0.50,100.00
0.52,98.00
0.51,99.00
0.65,85.00
0.46,104.00
1.15,35.00
0.38,112.00
0.54,96.00
0.57,93.00
0.84,66.00
0.72,78.00
0.83,67.00
0.67,84.00
0.81,69.00
0.70,80.00
0.65,85.00
0.89,61.00
0.71,79.00
0.62,88.00
0.90,60.00
0.61,89.00
0.99,51.00
0.43,107.00
1.19,31.00
0.97,53.00
0.59,91.00
0.65,85.00
0.41,109.00
0.87,63.00
0.49,101.00
1.00,50.00
0.57,93.00
1.10,40.00
0.85,65.00
0.58,92.00
0.91,59.00
0.61,89.00
0.97,53.00
0.57,93.00
0.76,74.00
0.77,73.00
0.63,87.00
0.94,56.00
0.81,69.00
1.42,8.00
0.61,89.00
0.71,79.00
0.68,82.00
0.57,93.00
0.68,82.00
0.78,72.00
1.20,30.00
0.69,81.00
0.76,74.00
1.01,49.00
0.38,112.00
0.83,67.00
0.54,96.00
1.35,15.00
0.74,76.00
0.71,79.00
0.69,81.00
0.62,88.00
0.79,71.00
0.54,96.00
0.93,57.00
0.52,98.00
0.51,99.00
0.42,108.00
0.60,90.00
0.55,95.00
0.47,103.00
0.54,96.00
0.59,92.00
0.53,97.00
0.69,81.00
0.72,78.00
0.45,105.00
0.54,96.00
0.38,112.00
0.68,82.00
0.50,100.00
0.54,96.00
0.81,69.00
0.72,78.00
