mean_distance_best_1,relevance_score_best_1,mean_distance_n_best_1,relevance_score_n_best_1,ground_truth_distance_best_1,mean_distance_best_2,relevance_score_best_2,mean_distance_n_best_2,relevance_score_n_best_2,ground_truth_distance_best_2
224.65,0.61,189.82,69,81.32,0.87,0.52,0.81,69,0.48
126.18,0.83,109.64,87,63.55,0.64,0.72,0.61,89,0.49
172.08,0.73,131.16,82,91.19,0.8,0.58,0.65,85,0.25
127.72,0.83,97.69,89,137.53,0.86,0.53,0.52,98,0.25
215.72,0.63,181.07,71,400.63,1.22,0.24,0.9,60,0.57
256.89,0.54,208.22,65,260.66,1.04,0.39,1.11,39,1.13
177.16,0.72,110.06,87,92.95,0.53,0.81,0.49,101,0.56
272.04,0.51,101.02,89,154.08,0.92,0.48,0.75,75,0.59
206.3,0.65,138.25,80,65.55,0.82,0.56,0.77,73,0.1
158.8,0.76,120.19,84,83.4,0.71,0.66,0.61,89,0.67
177.46,0.72,124.92,83,117.66,0.78,0.6,0.73,77,0.84
272.37,0.51,91.59,91,139.57,0.99,0.43,0.48,102,0.67
214.81,0.63,155.72,77,36.87,0.94,0.47,0.87,63,0.14
176.32,0.72,92.72,91,89.88,0.88,0.51,0.5,100,0.55
277.08,0.5,194.18,68,61.14,0.96,0.45,1.12,38,0.15
171.57,0.73,124.63,83,80.69,0.71,0.66,0.75,75,0.37
191.4,0.69,166.23,74,78.89,0.92,0.48,0.95,55,0.52
213.09,0.64,146.5,79,72.13,0.92,0.48,0.9,60,0.58
166.02,0.74,126.36,83,77.22,0.8,0.59,0.73,77,0.25
153.45,0.77,107.3,87,63.65,0.86,0.53,0.81,69,0.24
300.07,0.44,172.58,73,171.4,1.06,0.36,1.05,45,0.66
207.76,0.65,134.93,81,57.84,0.78,0.6,0.76,74,0.3
174.72,0.72,103.19,88,58.59,0.66,0.7,0.53,97,0.27
198.54,0.67,143.69,79,142.9,0.65,0.7,0.59,91,0.77
308.56,0.43,266.74,52,132.96,0.96,0.45,1.03,47,0.5
211.3,0.64,121.72,84,48.72,0.91,0.49,0.73,77,0.24
113.68,0.86,85.04,92,55.45,0.58,0.77,0.49,101,0.29
186.22,0.7,138.76,80,110.41,0.97,0.44,0.95,55,0.38
161.32,0.75,82.98,93,294.1,0.64,0.72,0.43,107,0.67
188.99,0.69,125.39,83,49.06,0.78,0.6,0.5,100,0.21
154.6,0.77,118.27,85,52.91,0.72,0.65,0.65,85,0.22
189.96,0.69,48.98,100,46.9,0.73,0.64,0.29,121,0.41
163.84,0.75,85.87,92,69.67,0.72,0.65,0.46,104,0.26
244.72,0.57,109.52,87,197.79,0.95,0.46,0.65,85,1.51
135.83,0.81,51.03,100,35.41,0.53,0.81,0.37,113,0.15
146.09,0.79,109.96,87,44.12,0.65,0.71,0.62,88,0.17
227.46,0.61,86.29,92,222.09,0.88,0.51,0.48,102,1.25
174.57,0.72,106.04,88,68.4,0.81,0.58,0.4,110,0.29
238.86,0.58,211.18,64,191.68,0.95,0.46,1.03,47,1.18
158.39,0.76,77.2,94,43.05,0.78,0.6,0.64,86,0.29
166.67,0.74,83.5,93,59.32,0.8,0.58,0.67,83,0.35
133.98,0.81,85.69,92,63.28,0.56,0.79,0.35,115,0.46
213.46,0.64,106.41,87,50.13,0.76,0.62,0.36,114,0.17
279.96,0.49,140.61,80,137.88,0.97,0.45,0.81,69,0.34
201.87,0.66,87.85,92,135.14,0.8,0.58,0.49,101,0.53
285.09,0.48,249.34,56,99.37,0.86,0.53,1.03,47,0.55
219.17,0.62,116.85,85,119.59,0.8,0.59,0.5,100,0.8
245.21,0.57,88.69,91,106.16,0.95,0.46,0.49,101,0.53
210.31,0.64,127.88,83,116.79,0.85,0.54,0.61,89,0.53
243.25,0.57,158.38,76,135.93,0.96,0.45,0.81,69,0.42
169.8,0.73,66.69,96,103.5,0.54,0.8,0.39,111,0.33
175.18,0.72,166.22,74,63.16,0.62,0.74,1.35,15,0.35
133.21,0.82,116.06,85,207.53,0.45,0.88,0.5,100,1.32
216.67,0.63,99.85,89,170.63,0.86,0.53,0.84,66,0.77
142.44,0.79,104.42,88,226.92,0.64,0.72,0.6,90,0.55
129.15,0.82,97.74,89,188.88,0.65,0.71,0.64,86,0.88
124.01,0.84,104.13,88,106,0.56,0.78,0.63,87,0.62
149.47,0.78,103.79,88,126.35,0.7,0.67,0.62,88,0.56
131.43,0.82,116.06,85,62.14,0.63,0.72,0.72,78,0.12
154.6,0.77,155.97,76,69.88,0.98,0.43,0.95,55,0.55
127.67,0.83,113.82,86,74.34,0.59,0.76,0.91,59,0.23
100.92,0.89,71.17,95,39.04,0.42,0.9,0.37,113,0.04
142.52,0.79,80.87,93,79.43,0.69,0.67,0.5,100,0.14
182.84,0.7,105.69,88,104.04,0.63,0.73,0.52,98,0.33
118.16,0.85,91.21,91,60.42,0.61,0.74,0.51,99,0.27
192.47,0.68,125.95,83,74.89,0.69,0.67,0.65,85,0.43
101.72,0.89,81.58,93,45.51,0.49,0.84,0.46,104,0.32
187.04,0.7,192.03,68,77.2,0.83,0.56,1.15,35,0.7
142.66,0.79,77.94,94,49.56,0.48,0.85,0.38,112,0.24
