,Biomedical_4,Biomedical_17,Biomedical_22,Biomedical_32,Biomedical_46,Biomedical_57,Biomedical_66,Biomedical_79,Biomedical_89,Biomedical_94,Biomedical_103,Biomedical_114,Biomedical_122,Biomedical_132,Biomedical_147
0,0.9999990950308142,0.20277760318158702,0.0,0.0,0.850200414758456,0.009235121147376655,0.25254236454655427,0.2249005958063353,0.0,0.1599030847314161,0.08827531604742782,0.3658699814268102,1.0,0.953794956352962,0.06547655892147518
1,0.9999990950308142,0.634521285815234,0.0,0.0,1.0,0.022975220120121622,0.5517137602407625,0.6877029235848052,0.6849763204840078,0.45640234600128826,0.5300885027859976,0.5740406237136284,1.0,0.06914938916279385,0.44119470412846
2,0.9999990950308142,0.4171852173532106,0.0,0.0,1.0,0.048430596488418985,0.5522556723742833,0.5107944001960443,0.3440821042984297,0.14185969704956328,0.36299043539785514,0.6759319250182271,1.0,0.10007159432576476,0.1777657577699669
3,0.0,0.06757539222240634,0.0,0.0,0.23990718791564117,0.11184220401995466,0.0,0.2184515966141104,0.0,0.3218987824896354,0.21947455120518333,0.022693221800522172,1.0,0.9115586344537108,0.06547655892147518
4,0.08302549298196396,0.0,0.0,0.0,0.0,0.11314316022276373,0.0,0.11729241046196649,0.0,0.2489624423260102,0.14575187985240934,0.0,1.0,0.758857993520906,0.06547655892147518
5,0.7683858064632899,0.16969130758579182,0.0,0.0,0.7431228292720218,0.02555044624465649,0.08646547400100317,0.2650228429558133,0.0,0.2772151787989375,0.1909647577750587,0.2060754990536468,1.0,0.989890188353701,0.06547655892147518
6,0.8902878706980027,0.11359545618175274,0.0,0.0,0.7115297279192303,0.011885402437458198,0.09157774127875527,0.12715485766573623,0.0,0.20474416753152588,0.11486078160032918,0.20297181444295784,1.0,0.985265425858735,0.06547655892147518
7,0.9999990950308142,0.25529264543703967,0.0,0.0,0.9195192378084531,0.014971003687710467,0.3125923266815504,0.30370198626864836,0.0,0.14913982504508386,0.10259573768844357,0.4354291530906485,1.0,0.7343304414935308,0.06547655892147518
8,0.9999990950308142,0.3157273709051638,0.0,0.0,0.9443969708768559,0.007523863372912424,0.2848564572125456,0.4768241154285045,0.06157404846132728,0.2692012418977545,0.2056966623707665,0.4131569374688734,1.0,0.5602842987581175,0.06547655892147518
9,0.7683858064632899,0.1862344553836894,0.0,0.0,0.7579969926448723,0.02555044624465649,0.0922519350492245,0.30065405855420635,0.0,0.28942801181530764,0.20641234394542893,0.21515601427361863,1.0,0.9913379526428555,0.06547655892147518
10,0.9999990950308142,0.3876816355917192,0.0,0.0,0.9906585408043411,0.0023417211650563164,0.2842486501371992,0.5773215695755096,0.2451192639673654,0.390129887457117,0.30714282804222387,0.4172358576530753,1.0,0.337678149825561,0.0572678247140037
11,0.9999990950308142,0.5863060715666611,0.0,0.0,1.0,0.33339004168063524,0.792812042054742,0.594566206617155,0.6471632075540631,0.12490007184984367,0.6548778384515204,0.8208902329168547,1.0,0.051630190287902535,0.5662521985980397
12,0.9999990950308142,0.4761961902476282,0.0,0.0,1.0,0.038308156495023844,0.5743535902908229,0.5534158820631847,0.5106784857218312,0.21450951272245292,0.41815631191765995,0.6836973813832005,1.0,0.09307166120487284,0.26311564316194347
13,0.9999990950308142,0.5661544966772758,0.0,0.0,1.0,0.14621246616262953,0.7010852995269333,0.5827952979072931,0.6376157227393291,0.20511818041637914,0.5769541026751824,0.7447224611740192,1.0,0.06735135155941391,0.4753942715986367
14,0.9999990950308142,0.24737962862437884,0.0,0.0,0.8608492506554699,0.001787980832578612,0.21323357298110684,0.36380820993241586,0.0,0.2555984370198391,0.18083249927684927,0.3357995240392446,1.0,0.8404315001561314,0.06547655892147518
15,0.5419258649242993,0.21644562788917016,0.0,0.0,0.7630713375474313,0.07597917802918479,0.07002616127541135,0.4000508262986491,0.0,0.3736645716841625,0.27362733767812253,0.1899742244301195,1.0,0.993400619810554,0.06547655892147518
16,0.9999990950308142,0.2840714942830858,0.0,0.0,0.9012081896978975,0.0034975707144751394,0.24484052440571613,0.43431237216072,0.00906105525985881,0.2803631205797856,0.20294868956938242,0.36878944330909813,1.0,0.6981524526108593,0.06547655892147518
17,0.9999990950308142,0.16681427980976,0.0,0.0,0.8725087444583878,0.022419811895076216,0.3345220649704456,0.07051076304631052,0.0,0.11379451382152586,0.04251379418518906,0.44173904173997847,1.0,1.0,0.06547655892147518
18,0.9999990950308142,0.39056056805346834,0.0,0.0,1.0,0.03042402832748737,0.4977585884713357,0.5081994536172896,0.25212760738245577,0.16477728188869945,0.30333355514482707,0.6215133636936553,1.0,0.1627500689239729,0.10104837534675236
19,0.20785106017140118,0.10424725868108133,0.0,0.0,0.4480687040061572,0.10912187124202956,0.002196170225321361,0.21639709200962728,0.0,0.322948643219048,0.2211245571126119,0.07603246691406634,1.0,0.981895488643302,0.06547655892147518
20,0.5837630428683903,0.05247790088396464,0.0,0.0,0.35652318131785904,0.06592178584593009,0.03080244303038052,0.05483959599693392,0.0,0.2030015080811936,0.11528991893921596,0.10945536163598109,1.0,0.9341019458933582,0.06547655892147518
21,0.8598184631813287,0.2977385666478103,0.0,0.0,0.8693102713292549,0.013036248309173909,0.16560234861374745,0.523859069235155,0.0326539325115527,0.3757697611676201,0.29115203005047796,0.2947308656854985,1.0,0.7122824684838217,0.06547655892147518
22,0.9999990950308142,0.2430626584460431,0.0,0.0,0.8532858367308067,0.0006304633905920852,0.2061449492018844,0.3630812948494642,0.0,0.2674536612252531,0.18413658518036669,0.3264218585991683,1.0,0.8630760925472135,0.06547655892147518
23,0.9999990950308142,0.34738610455581775,0.0,0.0,0.947084284334349,0.0006304633905920852,0.2526107182548659,0.5545000664207312,0.12100091753557668,0.36527279428088366,0.2816057613045775,0.38211592813648304,1.0,0.4886673591942174,0.06547655892147518
24,0.5837630428683903,0.2322716615144918,0.0,0.0,0.7809823335702333,0.06592178584593009,0.08007513990381306,0.42558856606304935,0.0,0.37401507206309664,0.28108224091172673,0.20541146458630288,1.0,0.9934540268680803,0.06547655892147518
25,0.9999990950308142,0.2883865597757042,0.0,0.0,0.9124543503316059,0.00520882848893937,0.25903055754988835,0.4350376370391701,0.014359588351160385,0.26850242834973925,0.19484532722401104,0.38493911542906983,1.0,0.6756038485799256,0.06547655892147518
26,0.8598184631813287,0.25313368417644244,0.0,0.0,0.8292001096175113,0.013036248309173909,0.14241519714389686,0.42767194924631036,0.0,0.3268019601774702,0.2494367572427111,0.2714011907865738,1.0,0.8764740468163379,0.06547655892147518
27,0.9999990950308142,0.22004262686635392,0.0,0.0,0.8436314622988969,0.0034975707144751394,0.21579806642603538,0.2963437243960458,0.0,0.2193689462132289,0.14321236458747816,0.33468169799233655,1.0,0.9295161561160463,0.06547655892147518
28,0.9999990950308142,0.32220235000123804,0.0,0.0,0.9723047340900742,0.012657636696305118,0.3333049755598611,0.46504248038938223,0.07635482635195578,0.24584457468064003,0.18097441336518366,0.45679014273098223,1.0,0.5074358501850241,0.06547655892147518
29,0.9999990950308142,0.22939368139560132,0.0,0.0,0.8815016562480362,0.010946378921840886,0.27836383842953666,0.2736377355563788,0.0,0.17241228468286005,0.10095727503221925,0.3936678380942419,1.0,0.8488936319060497,0.06547655892147518
