,Private_4,Private_17,Private_22,Private_32,Private_46,Private_57,Private_66,Private_79,Private_89,Private_94,Private_103,Private_114,Private_122,Private_132,Private_147
0,,0.2421624877372257,,0.0,1.0,0.007675173517237306,0.24021910623527573,0.32997871304958476,0.09062723890021779,0.24660493708724898,0.1741434820331733,0.4349670179662755,,0.4867886060450994,0.06569133980881159
1,,0.1894251263114221,,0.0,1.0,0.020469589962297717,0.299774215190998,0.22994553690491099,0.014522767745327864,0.10789085913606729,0.07347217597960988,0.5003462596469507,,0.5413662311734159,0.06569133980881159
2,,0.36815207261888916,,0.0,1.0,0.10870179025867494,0.5954144545167684,0.2443920051945839,0.41297485865639244,0.09007325431026213,0.4272281604114763,0.7828342225775554,,0.02563784903444909,0.2594077869147919
3,,1.0,,1.0,1.0,0.025214209128639895,0.5707607140559469,1.0,1.0,1.0,0.951452090922361,0.0,,0.12354429031276996,0.6405215627658398
4,,0.6377275964445387,,0.0,1.0,0.03710067044735244,0.6919192321478355,0.4960517806037026,0.7170199572884691,0.3717953637581111,0.6100651624468802,0.6508754199869199,,0.054194310536657075,0.5314989883066512
5,,0.23923234709823016,,0.0,1.0,0.007675173517237306,0.24021910623527573,0.3277532004652406,0.08793248337422153,0.24660493708724898,0.1717078859189742,0.43319756341615273,,0.4934212325371312,0.06569133980881159
6,,0.5576353622866213,,0.0,1.0,0.02942365149286646,0.5801615724671203,0.47028153250552185,0.651444042652224,0.34842996327691206,0.47965334168707263,0.6430622903631411,,0.04573594618187041,0.3697741592852302
7,,0.2831805791260762,,0.0,1.0,0.00031926064402069103,0.19117386655719523,0.40795814383988704,0.16034457286615766,0.36224333170887074,0.2793136703367355,0.3821130325569652,,0.4470582388501704,0.06569133980881159
8,,0.07908277679618138,,0.0,0.619653856704656,0.01023110410665151,0.15647898240594088,0.06307598369850759,0.0,0.10789085913606729,0.021039614109728114,0.3715911611430348,,0.9234207831174177,0.06569133980881159
9,,0.2890395678850382,,0.0,1.0,0.007675173517237306,0.2692304628741763,0.3656062779076567,0.18465720898731944,0.2894893111638955,0.2131392619733741,0.4585083947459824,,0.3581447098187269,0.06569133980881159
10,,0.5937741943405762,,0.0,1.0,0.038381403897932556,0.6716433274002274,0.4567877488372213,0.6814390174547508,0.31833919163158725,0.5774527764975635,0.6804112608914884,,0.04795831477594525,0.48334238490486237
11,,0.26071789091914904,,0.0,1.0,0.002555930589414203,0.21206738619618465,0.3674806655366984,0.11462533684444075,0.2989919378048266,0.2250761431310449,0.4079623315149056,,0.47421293886488947,0.06569133980881159
12,,0.09763300990198828,,0.0,0.3677897204419063,0.010921297637655779,0.040121072125532675,0.2903403201175236,0.0,0.2322164513294372,0.16039261481334477,0.25175394240322024,,1.0,0.06569133980881159
13,,0.38377992019987517,,0.0,1.0,0.011513682994480298,0.3539006853196984,0.4200551730904031,0.4448840683236227,0.3441187418217261,0.27789659623392876,0.5338261084766216,,0.07744238807844063,0.02386635074278958
14,,0.3613159394739189,,0.0,1.0,0.2552313532406801,0.6504360986100601,0.19826812779399292,0.3931923136189206,0.04124919896085557,0.4842260298799259,0.8438179993681029,,0.014584264175090116,0.31274637496575625
