,with_overlap,500 characters,1000 characters,1500 characters
119,Overlap,0.333333333,0.108108108,0.090909091
120,Overlap,0,0.111111111,0.107142857
121,Overlap,0.333333333,0.114285714,0.0625
122,Overlap,0.214285714,0.085714286,0.057692308
123,Overlap,0.285714286,0.088235294,0.037974684
124,Overlap,0.363636364,0.3,0.064516129
125,Overlap,0.222222222,0.157894737,0.071428571
126,Overlap,0.375,0.727272727,1
127,Overlap,0.375,0.272727273,0.214285714
128,Overlap,0.454545455,0.181818182,0.142857143
129,Overlap,0.166666667,0.25,0.125
130,Overlap,0.130434783,0.12,0.142857143
131,Overlap,0.6,0.133333333,0.105263158
132,Overlap,0.6,0.088235294,0.090909091
133,Overlap,0.1875,0.181818182,0.06122449
134,Overlap,0.272727273,0.111111111,0.176470588
135,Overlap,0,0.142857143,0.222222222
136,Overlap,0,0.176470588,0.028571429
137,Overlap,0.2,0.272727273,0.09375
138,Overlap,0.12,0.19047619,0.142857143
139,Overlap,0.166666667,0.142857143,0.111111111
140,Overlap,0.25,0.136363636,0.073170732
141,Overlap,0.25,0.181818182,0.1
142,Overlap,0.266666667,1,1
143,Overlap,0,0.230769231,0.09375
144,Overlap,0,0.047619048,0.115384615
145,Overlap,0.272727273,0.2,0.076923077
146,Overlap,0.25,0.166666667,0.176470588
147,Overlap,0.2,0.086956522,0.083333333
148,Overlap,0.4,0.157894737,0.325
149,Overlap,0.454545455,0.222222222,0.192307692
150,Overlap,0.25,0.19047619,0.09375
151,Overlap,0.555555556,0.136363636,0.083333333
152,Overlap,0.157894737,0.8,0.145833333
153,Overlap,0.416666667,0.333333333,0.3125
154,Overlap,0.266666667,0.090909091,0.083333333
155,Overlap,0,0.02173913,0.015625
156,Overlap,0.103448276,0.153846154,0.103448276
157,Overlap,0.15,0.130434783,0.09375
158,Overlap,0.085714286,0.09375,0.058823529
159,Overlap,0.090909091,0.157894737,0
160,Overlap,0.285714286,0.173913043,0.181818182
161,Overlap,0.5,0.166666667,0.266666667
162,Overlap,0.428571429,0.25,0.081632653
163,Overlap,0.25,0.111111111,0.263157895
164,Overlap,0.142857143,0.176470588,0.130434783
165,Overlap,0.416666667,0.461538462,0.121212121
166,Overlap,0.307692308,0.033333333,0.03125
