,with_overlap,500 characters,1000 characters,1500 characters
138,Overlap,0.349116457,0.377521699,0.23437875
139,Overlap,0.621785264,0.789892334,0.634349685
140,Overlap,0.929697334,0.734564985,
141,Overlap,0.462693591,0.684221869,
142,Overlap,,,
143,Overlap,0.987399243,0.765714156,0.559743973
144,Overlap,0.867258145,0.852334593,0.871323765
145,Overlap,0.724354721,0.739211436,
146,Overlap,0.995291422,0.995199527,1
147,Overlap,0.784556358,,
148,Overlap,0.891383662,0.81876659,
149,Overlap,0.887154661,0.897871124,0.897471415
150,Overlap,,0.993766897,
151,Overlap,0.866431195,1,0.825613495
152,Overlap,0.737373835,0.735649819,
153,Overlap,0.995318474,0.992749164,
154,Overlap,1,0.995766111,0.993649167
155,Overlap,0.876223282,0.755931631,
156,Overlap,0.95358868,0.614663887,0.883767937
157,Overlap,0.935917181,0.844896481,
158,Overlap,0.745337892,0.552173487,0.661324858
159,Overlap,,0.582869941,0.647665462
160,Overlap,0.447598362,0.479718822,0.645481855
161,Overlap,1,,
162,Overlap,0.697624364,0.728963886,
163,Overlap,0.142354977,0.234385342,0.531584662
164,Overlap,0.887627132,0.954914688,0.878386142
165,Overlap,,0.854117627,0.677836835
166,Overlap,0.835732226,0.68743493,
167,Overlap,0.985719544,0.72963347,0.997382132
168,Overlap,0.624354233,0.722976513,0.522291559
169,Overlap,0.911298926,0.698186898,
170,Overlap,0.593582985,0.442712762,
171,Overlap,0.766253655,0.637481657,0.825495997
172,Overlap,0.724313879,0.878786396,0.615276179
173,Overlap,0.367486918,0.963728367,0.976412154
174,Overlap,0.517881622,0.937881735,0.966753272
175,Overlap,0.71414764,,
176,Overlap,0.788452152,0.949996185,0.948985769
177,Overlap,0.938788869,0.399771516,0.938788869
178,Overlap,0.869625887,0.899513793,0.899513793
179,Overlap,,0.926289695,
180,Overlap,0.865881478,0.752441638,0.758645892
181,Overlap,0.975991876,0.963486636,0.975991876
182,Overlap,0.889227365,0.872434252,0.185546666
183,Overlap,0.735557362,0.892695488,0.614677792
184,Overlap,0.971187632,0.977181681,0.733551243
185,Overlap,0.959356594,0.958253364,0.958253364
186,Overlap,0.554233542,0.739437933,0.619152314
187,Overlap,0.837244268,0.18596665,
188,Overlap,1,1,1
189,Overlap,,,
190,Overlap,0.688276629,0.941639992,
191,Overlap,0.682558899,0.966456284,0.966456284
192,Overlap,0.75943212,0.75943212,
193,Overlap,0.883972191,0.881353168,
194,Overlap,0.584854852,0.817227732,0.939792412
195,Overlap,0.873386343,0.873533819,0.869697868
196,Overlap,0.411157419,0.468116339,0.781213721
197,Overlap,0.872626787,0.885125782,
198,Overlap,0.532719421,,0.698534676
199,Overlap,0.969183268,0.969183268,
200,Overlap,0.986348213,0.816847874,0.634416538
201,Overlap,0.822163934,0.899543673,0.223133643
202,Overlap,0.658143124,0.996195154,
203,Overlap,0.692326176,0.997982579,1
204,Overlap,0.886628661,0.878226524,0.475444472
205,Overlap,0.636446914,1,
206,Overlap,0.884371777,,
207,Overlap,0.912494714,0.916553785,0.623744788
208,Overlap,0.589736575,0.748549194,0.313913667
209,Overlap,0.989879436,0.982411384,
210,Overlap,,0.967721369,0.963786547
211,Overlap,0.852992712,0.971163473,
212,Overlap,0.743383843,0.716739432,0.793977759
213,Overlap,0.711296752,0.166659442,
214,Overlap,0.619231596,,
215,Overlap,0.897733292,0.897733292,0.666418684
216,Overlap,0.763876423,0.536983954,
217,Overlap,0.815216652,1,1
218,Overlap,0.696756318,0.696756318,0.696756318
219,Overlap,0.776781516,0.57579482,0.57579482
220,Overlap,0.997993243,0.748195353,0.892253586
221,Overlap,0.837562344,0.84225169,
222,Overlap,0.864984868,,
223,Overlap,0.714452845,0.64489778,0.696977331
224,Overlap,,0.596297726,
225,Overlap,0.512438131,0.441772198,
226,Overlap,0.915611596,0.991736376,0.985317985
227,Overlap,0.951616686,0.794355451,
228,Overlap,0.819961976,0.996316637,0.996316637
229,Overlap,0.362836953,0.637769674,0.379349232
230,Overlap,0.438438193,0.834677915,
231,Overlap,,,
232,No Overlap,0.765288629,0.894261523,0.838375268
233,No Overlap,0.872765416,0.996873822,0.697668379
234,No Overlap,,0.639447399,0.595589322
235,No Overlap,0.548273727,0.719998389,
236,No Overlap,0.898726941,0.921619625,0.925921245
237,No Overlap,,0.711251846,0.791275658
238,No Overlap,0.48257457,0.396334165,
239,No Overlap,0.549575667,0.656874144,0.517432461
240,No Overlap,0.692462643,0.577787728,0.439773566
241,No Overlap,0.584457963,0.612168239,0.361782149
242,No Overlap,0.926999871,0.99711175,0.971368951
243,No Overlap,0.767446798,0.996787936,0.852548818
244,No Overlap,0.376255791,0.3732862,0.531542557
245,No Overlap,0.957763614,0.779279477,
246,No Overlap,0.971317789,0.962964442,0.986542362
247,No Overlap,0.788317748,1,
248,No Overlap,0.666263646,0.818787136,0.666386577
249,No Overlap,0.539653199,,
250,No Overlap,,,
251,No Overlap,0.939541753,1,1
252,No Overlap,0.887458856,0.825996393,0.856675497
253,No Overlap,0.984516348,0.984516348,0.657932719
254,No Overlap,0.518126174,,
255,No Overlap,0.391588262,0.624318732,0.994738199
256,No Overlap,0.768136558,0.782126624,
257,No Overlap,0.832323197,,
258,No Overlap,,0.534642947,0.735571422
259,No Overlap,0.652952848,0.817424233,
260,No Overlap,1,0.942755433,
261,No Overlap,0.783826692,0.959896352,0.733571456
262,No Overlap,0.757528787,0.761195334,
263,No Overlap,0.639462566,0.643896932,0.629897469
264,No Overlap,0.721918375,0.75627269,0.81859189
265,No Overlap,0.978678176,0.976321623,0.969289785
266,No Overlap,0.866346515,0.866346515,
267,No Overlap,0.684189974,0.545562455,
268,No Overlap,0.474691197,0.733228568,0.733228568
269,No Overlap,,0.469847798,0.524262449
270,No Overlap,0.486955515,0.641651918,0.476151878
271,No Overlap,0.739334952,0.444932583,
272,No Overlap,0.43871315,0.546324674,0.316646472
273,No Overlap,0.618341888,0.47383614,0.47383614
274,No Overlap,0.228985477,,
275,No Overlap,0.774774118,0.888679674,0.384258338
276,No Overlap,0.539953753,0.533129767,0.523837243
277,No Overlap,,,0.727884124
278,No Overlap,0.649643425,0.453154178,
279,No Overlap,0.571349299,0.444185175,0.635549652
280,No Overlap,0.543839173,0.448712226,0.465994215
281,No Overlap,1,1,1
282,No Overlap,0.722867973,0.722867973,0.686711385
283,No Overlap,0.931363297,0.867295147,1
284,No Overlap,0.632946842,0.613276788,0.829644549
285,No Overlap,,,0.565691323
286,No Overlap,0.963897988,0.581332683,0.592111832
287,No Overlap,0.785628242,,0.575361681
288,No Overlap,0.995549892,0.993324838,0.153935546
289,No Overlap,0.986182915,0.985988254,
290,No Overlap,0.969154686,0.869595277,0.899587672
291,No Overlap,0.972356332,0.969813383,
292,No Overlap,0.759599359,,
293,No Overlap,0.546441125,,0.974259716
294,No Overlap,0.642178658,0.783857199,0.71198133
295,No Overlap,0.933478741,0.876153348,0.963731764
296,No Overlap,,,
297,No Overlap,0.897966377,0.978634916,0.978634916
298,No Overlap,0.865187667,0.921218668,0.976118743
299,No Overlap,1,0.232964845,
300,No Overlap,0.94758536,0.813441234,0.875871385
301,No Overlap,0.742261454,0.573255776,0.573659139
302,No Overlap,,,
303,No Overlap,0.841695378,0.873721611,0.966464621
304,No Overlap,0.751861232,0.646827655,0.679489764
305,No Overlap,,0.869744779,
306,No Overlap,0.779872517,0.985243339,0.954935764
307,No Overlap,,,
308,No Overlap,,0.951513613,0.442158931
309,No Overlap,0.686496254,0.536969333,
310,No Overlap,0.374667538,,
311,No Overlap,0.84496983,0.914198328,0.867322643
312,No Overlap,0.392262963,0.515175824,0.223819768
313,No Overlap,0.869389734,0.662378235,
314,No Overlap,0.873834247,0.435679226,
315,No Overlap,0.547889394,,
316,No Overlap,0.947654262,0.955225375,1
317,No Overlap,,0.69245752,
318,No Overlap,0.674213246,0.748799863,0.942274752
319,No Overlap,0.473191966,0.368183788,0.436621759
320,No Overlap,1,0.931554199,0.442423787
321,No Overlap,0.812729794,,
322,No Overlap,0.682961352,,
323,No Overlap,0.827433198,,
324,No Overlap,1,1,1
325,No Overlap,0.767568846,,
326,No Overlap,1,0.178136286,
327,No Overlap,,0.912272,0.823882695
328,No Overlap,0.461998998,0.642578255,0.645464196
329,No Overlap,0.978979856,,
330,No Overlap,0.784588442,0.789678393,
331,No Overlap,0.96949587,0.86134946,
332,No Overlap,0.759213284,0.814251918,
333,No Overlap,0.858736488,0.711452984,0.812826447
334,No Overlap,0.743393168,0.979285949,0.767358553
335,No Overlap,0.749967495,0.736842774,
336,No Overlap,0.935589743,0.858276534,0.935589743
337,No Overlap,0.822679323,0.811428329,0.692288926
338,No Overlap,0.949653729,,
339,No Overlap,0.764794338,0.632322217,0.616559472
340,No Overlap,,0.966422836,
341,No Overlap,0.934532325,0.921367935,0.923831896
342,No Overlap,0.838417326,0.856927233,0.556347763
343,No Overlap,0.683151934,0.678532242,
