,embed,gemma,llama2,llama3,llama3-70b,mistral,vicuna
0,qa-cos,0.8394140990837623,0.8946249399816693,0.9043189232964526,0.7260944558734002,0.860289101357951,0.9052731038631692
1,qa-cos,0.3680860544092659,0.4637081939594566,0.3903806387912849,0.4212816907409477,0.4972725510687663,0.3963027570818334
2,qa-cos,0.5851457418966558,0.6982589783960865,0.6938458542128751,0.4830818320314373,0.6222730859687593,0.6111337719347721
3,qa-cos,0.8737332309394654,0.8441642569441016,0.8665634037745205,0.6983890660717343,0.843317214740922,0.8113778106737193
4,qa-cos,0.8470064091072005,0.8191097075495395,0.7221096803757846,0.7859178375208336,0.7458514446527562,0.8894754741197628
5,qa-cos,0.9084586247254978,0.8369262842104093,0.7812808349201801,0.8091309574739576,0.8332172166226407,0.9256844680347992
6,qa-cos,0.6405572324523385,0.5999592970696036,0.6334090561267759,0.6173694968629699,0.5854922052544858,0.6323476217481054
7,qa-cos,0.8015267172890934,0.7596656749393366,0.7371397401385275,0.7723544629574248,0.8217446006910027,0.763318369612632
8,qa-cos,0.7999692609713878,0.7950717550193774,0.7836931662872297,0.7149062460940416,0.8149283607319131,0.7886862771877285
9,qa-cos,0.6106930851583316,0.5549787366707486,0.6478589576068312,0.5856756489478447,0.5352757885025321,0.539870996361147
10,qa-cos,0.5873410103297014,0.6745600363342547,0.6596578869534873,0.6769166103639899,0.6704266059161058,0.6738509374276738
11,qa-cos,0.8403495791898272,0.9009183798542928,0.90411464208887,0.9204137048617592,0.8883302005423706,0.8949235591542823
12,qa-cos,0.7514542433833384,0.7520394305144766,0.7886288056976978,0.799156610465886,0.7750015458775564,0.8345489324306294
13,qa-cos,0.8767218383684993,0.8977806772775695,0.8237579400272376,0.9334683808367852,0.871951937909657,0.8160598264029624
14,qa-cos,0.9144615243538085,0.8944779319155436,0.9185458177264132,0.8468606204631703,0.8953331245603161,0.9398949100170234
15,qa-cos,0.7528336954454007,0.653840912321487,0.663453522563663,0.686671346117286,0.580106220750511,0.6956869519555715
16,qa-cos,0.5579695934251688,0.5297025336455002,0.537768036818389,0.492310587660812,0.4495418780335001,0.4834660481117921
17,qa-cos,0.2914324866904312,0.361077458772119,0.5314525750678911,0.4305380968487822,0.4565828378838512,0.4191929010092731
18,qa-cos,0.5556418455180827,0.6005592489140441,0.2879887068637273,0.6144904561427142,0.0935737623311086,0.4630568641943298
19,qa-cos,0.7313128778996387,0.8501027972929499,0.8601397115613849,0.8079564567776019,0.9198555191148168,0.816940351373979
20,qa-cos,0.8031965685188003,0.6661572249608108,0.7978878904035075,0.8240958490421117,0.8150756681372969,0.8355607814829626
21,qa-cos,0.7182552466478449,0.7731843829962671,0.6315394580750608,0.6992842432179327,0.6874397256852844,0.6218338882267436
22,qa-cos,0.3024016554865888,0.3040999180602532,0.3819631249488779,0.3182721024516113,0.3351876429482872,0.2695021146394626
23,qa-cos,0.5666315291589065,0.747111340465332,0.7322374450783575,0.7127199298570979,0.5859891013744829,0.8215374941698108
24,qa-cos,0.820737794082127,0.8586535131078629,0.7991760578840885,0.8556735724334784,0.8541113811921683,0.7006600627125535
25,qa-cos,0.8697875920484884,0.9449662870240572,0.8003429062432138,0.8810435789400135,0.780883700385052,0.8528263841296371
26,qa-cos,0.8471187016060346,0.8441581437023911,0.6842153024850204,0.877892773175563,0.8291298977488182,0.690546614070875
27,qa-cos,0.8395894813106266,0.9166924240097318,0.8963499196787084,0.8586594452824169,0.8938862314629525,0.798461154481154
28,qa-cos,0.8726510521577999,0.8241343063687311,0.8782828661302617,0.9049224650249624,0.8587951033515145,0.9292739604729544
29,qa-cos,0.879135261020983,0.9025497251746704,0.9244425291257548,0.9100527728262692,0.8726349159868179,0.828055627590384
30,qa-cos,0.8384577693912647,0.8890830472391076,0.8442386026565798,0.8128881785019664,0.825446969324525,0.8671151600330658
31,qa-cos,0.8431654390095233,0.8798239348440022,0.8427811284118418,0.8709977522044654,0.8707817690716815,0.9034633850906938
32,qa-cos,0.6715461580799457,0.7792682292867865,0.7459736970299156,0.5191713439190326,0.6552927342792262,0.7503346188003557
33,qa-cos,0.8707533184298876,0.910470244312385,0.8973967084354466,0.7756028786293581,0.7662435330535446,0.8939041067077982
34,qa-cos,0.7082685941332638,0.8146102777388894,0.928969398696946,0.850395632665934,0.7547448771676533,0.8715076339318957
35,qa-cos,0.7200590644893865,0.6894867079826534,0.6995531963070685,0.7601327258668151,0.5531486708397266,0.6437923343408491
36,qa-cos,0.5640504337050453,0.6151116666507895,0.7535293617079942,0.3734733547397869,0.6092162810885409,0.6838319744272998
37,qa-cos,0.8402952361891318,0.7073424797661341,0.6278630113543411,0.8526173787495821,0.7066877943013176,0.8526173787495821
38,qa-cos,0.4311530276138697,0.7741820868526985,0.7876979085859852,0.5707973717281507,0.6157776251972782,0.8014830537623973
39,qa-cos,0.6757369421118846,0.6575169857194867,0.4754699867602294,0.5858539804221273,0.678162952522468,0.7403907318961267
40,qa-cos,0.5154486849080763,0.6738365199268286,0.6922161114207277,0.7390802544725391,0.6139123298374294,0.8723186829373244
41,qa-cos,0.7330325764770214,0.6350765302969157,0.6922588021163945,0.7390235795475788,0.7319430164232068,0.8610903609241819
42,qa-cos,0.5187451124417801,0.5592013421502519,0.6954344258934273,0.3940622408370968,0.6000888862043193,0.738340728902007
43,qa-cos,0.690841548132598,0.7422797533849532,0.683941693086302,0.6447509281659329,0.655871506142994,0.8205040480514652
44,qa-cos,0.6676790215626199,0.7766320726798162,0.7764238921998516,0.6213654181021888,0.8362134279061548,0.560509649117487
45,qa-cos,0.5686603182861927,0.6615998047857368,0.6076644632268424,0.562298000476805,0.5874705670272803,0.8773021307715048
46,qa-cos,0.7224963852012829,0.8152161371275702,0.690363177672595,0.5812857853755533,0.7166624306230027,0.6980435719096241
47,qa-cos,0.7302654058630506,0.8444412161714914,0.3817322173266189,0.6336703633813778,0.6682869127043967,0.7908627153066774
48,qa-cos,0.4255103717917925,0.5132517223534281,0.3821900981937406,0.4320014051561956,0.4525703578945267,0.6904191257605552
49,qa-cos,0.9236470167735856,0.9764355163290016,0.9433469015085778,0.9407779052072296,0.9039568471813402,0.8822416500425204
50,qa-cos,0.514879962971553,0.7612914205292667,0.8222591340397747,0.8496285882079091,0.6881509361555502,0.8636747953593604
51,qa-cos,0.7925848240272305,0.8938526171882968,0.7493801391695876,0.7361792774954262,0.6435968914412922,0.8563532738916974
52,qa-cos,0.8120753107373665,0.6888706635628103,0.6937808279837037,0.8128644321431253,0.7481886450712816,0.7481390642022809
53,qa-cos,0.8888881725249389,0.7998380312215793,0.9117095003410602,0.963197385938548,0.8050807915149218,0.9272672861066078
54,qa-cos,0.935767773334639,0.9377138221904456,0.9223868779242356,0.9383743133095984,0.90743649182508,0.9344484676911636
55,qa-cos,0.9350046117018832,0.9120464840451736,0.8491782896393197,0.838500672033547,0.8239258925355435,0.9070647370614372
56,qa-cos,0.7949129510942368,0.7644184068105129,0.7281813053443182,0.7279678509968107,0.743326311911841,0.8010308571424596
57,qa-cos,0.7631609364793182,0.880540471159502,0.9046984050186482,0.8978901105299985,0.9305085665029994,0.9401033622686914
58,qa-cos,0.8748933909726251,0.7999356310255935,0.8827333048287513,0.8096170272726375,0.7704338094448346,0.8101672887862017
59,qa-cos,0.7458032260138632,0.9303987652520636,0.8997587795439728,0.8983433867308673,0.7918445063832169,0.8332330296157086
60,qa-cos,0.434183710573106,0.434255495375804,0.5465485424055788,0.5499954721512079,0.6218896734140129,0.5920181427039763
61,qa-cos,0.881109125886069,0.8411173314171752,0.8771903951359452,0.9206307945776878,0.8249764880958032,0.7941804224627512
62,qa-cos,0.6558276192552752,0.667883348843205,0.6954725835239338,0.6840525296179891,0.7083729825715794,0.6873633715483737
63,qa-cos,0.7177436009700364,0.7113553627846747,0.6763617585777612,0.6291414072024573,0.6370093156628219,0.6799527241676103
64,qa-cos,0.4051715080419683,0.5956281488868772,0.5654210239279747,0.4903336387389014,0.5544624235291453,0.5821855149578724
65,qa-cos,0.8090294378428117,0.7980406492069018,0.8709321197405647,0.859690494380666,0.8437944655172387,0.8976302046675964
66,qa-cos,0.8648127999403263,0.7929988746310206,0.9196698504054543,0.9144900655969216,0.907224019611879,0.8628595238465873
